district,crop,season,sowing_date,harvest_date,season_total_rainfall_mm,season_avg_temp_c,season_avg_humidity,soil_pH,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,organic_carbon_pct,soil_moisture_pct,yield_kg_per_ha,harvest_days,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha
Angul,Cotton,Summer,2022-03-20,2022-06-10,204,25.21,65.92,5.99,299,43,198,0.93,24.08,2348,82,95,74,24
Angul,Mustard,Kharif,2017-06-15,2017-10-30,1426,34.44,77.33,6.77,253,46,181,1.11,25.83,3071,137,68,48,41
Angul,Groundnut,Kharif,2020-06-15,2020-10-30,1333,32.04,77.58,7.01,378,56,182,0.89,22.73,4215,137,63,76,57
Angul,Mustard,Kharif,2023-06-15,2023-10-30,1023,25.24,75.05,6.59,394,20,277,0.93,30.8,2164,137,56,44,48
Angul,Sugarcane,Summer,2019-03-20,2019-06-10,385,21.12,48.07,7.12,210,36,245,0.99,17.48,3339,82,60,56,39
Angul,Mustard,Summer,2016-03-20,2016-06-10,585,21.01,54.89,7.33,226,54,165,0.81,30.16,2359,82,77,61,57
Angul,Groundnut,Rabi,2020-11-15,2021-03-15,494,19.05,63.97,7.43,211,25,221,1.05,27.93,2404,120,84,55,38
Angul,Rice,Summer,2025-03-20,2025-06-10,272,27.43,43.75,6.18,260,48,237,1.2,29.94,5031,82,87,79,22
Angul,Cotton,Rabi,2024-11-15,2025-03-15,220,22.66,48.51,7.01,355,53,187,1.04,21.33,2456,120,66,53,36
Angul,Cotton,Kharif,2023-06-15,2023-10-30,1053,22.23,83.1,5.95,376,29,156,0.81,29.91,2189,137,82,33,22
Angul,Groundnut,Rabi,2025-11-15,2026-03-15,530,21.12,56.59,6.37,396,38,266,0.69,34.69,3022,120,56,58,55
Angul,Vegetables,Summer,2018-03-20,2018-06-10,314,26.49,48.35,7.23,240,59,283,0.93,16.26,2422,82,72,60,27
Angul,Rice,Kharif,2020-06-15,2020-10-30,1528,32.36,80.82,7.09,280,45,294,0.99,26.4,4287,137,100,71,54
Angul,Pulses,Kharif,2016-06-15,2016-10-30,1503,25.5,65.27,6.08,309,54,216,0.7,23.05,5246,137,69,43,20
Angul,Maize,Summer,2024-03-20,2024-06-10,526,22.45,55.85,7.22,342,56,190,0.99,32.21,5082,82,86,58,24
Angul,Pulses,Rabi,2021-11-15,2022-03-15,581,27.66,65.33,6.95,300,47,160,0.9,23.76,2917,120,89,80,37
Angul,Sugarcane,Rabi,2017-11-15,2018-03-15,472,15.26,44.6,5.98,235,28,242,1.17,31.29,2068,120,82,73,51
Angul,Rice,Summer,2018-03-20,2018-06-10,270,23.34,41.21,6.95,303,22,223,0.68,34.65,3779,82,142,40,49
Angul,Mustard,Summer,2022-03-20,2022-06-10,285,25.04,50.88,6.23,258,22,263,1.08,17.9,5794,82,91,54,55
Angul,Vegetables,Kharif,2019-06-15,2019-10-30,955,23.28,74.24,6.68,392,37,292,0.91,16.53,4729,137,62,43,39
Angul,Rice,Rabi,2022-11-15,2023-03-15,344,18.66,50.25,5.75,384,35,228,0.98,23.23,5235,120,148,47,25
Angul,Sugarcane,Kharif,2020-06-15,2020-10-30,1293,27.1,79.71,5.81,321,41,217,0.88,33.55,2420,137,70,68,31
Angul,Sugarcane,Kharif,2025-06-15,2025-10-30,1445,22.86,69.5,7.16,265,55,160,1.19,16.95,4819,137,44,68,53
Angul,Vegetables,Summer,2025-03-20,2025-06-10,385,20.85,57.41,7.12,272,53,193,0.64,34.15,4938,82,65,43,45
Angul,Mustard,Rabi,2017-11-15,2018-03-15,536,25.48,50.09,6.71,395,29,291,0.95,30.52,2398,120,63,67,37
Angul,Vegetables,Rabi,2025-11-15,2026-03-15,222,24.86,51.23,7.14,262,22,276,0.71,29.63,4705,120,93,67,33
Angul,Pulses,Rabi,2018-11-15,2019-03-15,387,27.46,61.03,7.18,385,58,217,0.62,23.75,3128,120,45,69,25
Angul,Groundnut,Kharif,2016-06-15,2016-10-30,1108,24.28,78.8,5.72,328,53,163,1.02,26.5,4169,137,81,31,38
Angul,Sugarcane,Summer,2016-03-20,2016-06-10,298,25.83,61.94,5.89,237,23,288,0.9,31.0,3838,82,66,47,31
Angul,Sugarcane,Summer,2016-03-20,2016-06-10,350,18.25,66.48,7.21,358,32,299,1.08,26.48,2647,82,98,72,56
Angul,Pulses,Rabi,2022-11-15,2023-03-15,593,23.83,61.11,6.23,317,36,221,0.52,15.78,4322,120,48,73,39
Angul,Maize,Kharif,2020-06-15,2020-10-30,1183,23.83,73.34,5.98,379,30,163,0.79,24.75,5941,137,49,43,21
Angul,Mustard,Summer,2020-03-20,2020-06-10,408,20.67,45.88,6.55,255,57,175,1.04,32.95,5351,82,71,69,50
Angul,Mustard,Rabi,2022-11-15,2023-03-15,368,16.67,43.64,6.81,317,39,244,1.15,25.01,2098,120,84,59,49
Angul,Rice,Kharif,2024-06-15,2024-10-30,1159,32.62,79.96,5.52,231,41,256,0.74,15.49,2591,137,92,67,50
Angul,Sugarcane,Summer,2022-03-20,2022-06-10,460,17.09,64.94,6.68,318,50,203,1.07,27.02,2283,82,70,72,54
Angul,Mustard,Summer,2025-03-20,2025-06-10,366,24.21,64.09,6.9,326,29,277,0.71,17.66,3091,82,90,69,32
Angul,Vegetables,Rabi,2018-11-15,2019-03-15,452,18.58,66.12,6.28,371,20,238,0.76,32.86,4221,120,81,77,20
Angul,Sugarcane,Kharif,2017-06-15,2017-10-30,1380,20.64,74.25,5.97,286,43,296,1.12,27.56,4707,137,62,44,21
Angul,Sugarcane,Kharif,2025-06-15,2025-10-30,1233,30.01,74.73,5.79,259,24,235,0.84,23.26,4186,137,82,63,40
Angul,Vegetables,Summer,2015-03-20,2015-06-10,257,19.11,57.28,5.66,262,29,261,0.88,17.28,3680,82,69,55,45
Angul,Vegetables,Kharif,2024-06-15,2024-10-30,1076,25.52,83.52,6.01,365,24,249,1.03,16.27,2944,137,41,46,32
Angul,Rice,Kharif,2025-06-15,2025-10-30,972,32.59,78.22,7.43,373,55,270,0.88,25.31,3623,137,124,76,31
Angul,Rice,Rabi,2024-11-15,2025-03-15,542,25.73,44.04,6.92,389,20,215,0.76,23.48,4999,120,92,70,44
Angul,Cotton,Rabi,2021-11-15,2022-03-15,443,26.11,48.2,5.55,247,25,207,1.03,18.09,2206,120,82,43,26
Angul,Rice,Summer,2017-03-20,2017-06-10,510,25.82,54.36,7.1,231,26,243,0.66,28.57,5909,82,135,42,28
Angul,Vegetables,Summer,2024-03-20,2024-06-10,264,19.58,67.83,5.99,243,33,192,1.02,33.53,2633,82,69,56,34
Angul,Sugarcane,Kharif,2025-06-15,2025-10-30,1089,31.98,83.22,5.77,282,27,247,0.56,22.77,2917,137,47,49,57
Angul,Pulses,Kharif,2018-06-15,2018-10-30,1308,26.0,62.75,7.45,203,46,199,0.83,16.76,4282,137,77,41,24
Angul,Vegetables,Kharif,2022-06-15,2022-10-30,1155,23.26,67.2,7.27,290,20,241,0.61,26.34,2027,137,81,45,27
Angul,Rice,Rabi,2023-11-15,2024-03-15,416,16.71,56.2,6.76,242,53,198,0.81,15.47,5470,121,85,59,26
Angul,Maize,Kharif,2025-06-15,2025-10-30,1078,26.32,68.22,6.05,268,21,192,0.96,19.91,5565,137,52,40,34
Angul,Cotton,Kharif,2018-06-15,2018-10-30,999,26.96,81.83,5.56,207,28,238,0.89,32.26,3264,137,63,70,53
Angul,Cotton,Summer,2021-03-20,2021-06-10,373,26.94,49.49,5.74,243,35,271,1.02,16.07,5078,82,44,69,38
Angul,Maize,Kharif,2023-06-15,2023-10-30,1482,25.71,67.38,5.65,246,25,200,0.74,17.53,5224,137,49,34,42
Angul,Pulses,Kharif,2020-06-15,2020-10-30,991,22.03,84.08,6.79,354,38,173,0.88,29.27,3548,137,93,44,35
Angul,Rice,Rabi,2021-11-15,2022-03-15,316,22.81,66.64,6.31,285,34,151,0.68,19.62,2342,120,120,57,32
Angul,Groundnut,Kharif,2021-06-15,2021-10-30,1392,29.78,68.04,6.24,226,56,282,0.64,26.0,2878,137,97,36,58
Angul,Rice,Summer,2022-03-20,2022-06-10,421,24.47,48.86,5.55,232,23,286,0.95,24.82,5428,82,85,57,56
Angul,Sugarcane,Rabi,2015-11-15,2016-03-15,405,20.11,55.11,6.96,288,27,264,1.09,26.28,2238,121,67,41,32
Angul,Rice,Rabi,2021-11-15,2022-03-15,428,21.54,52.32,5.6,375,57,154,0.67,29.92,3615,120,89,72,33
Angul,Vegetables,Summer,2015-03-20,2015-06-10,456,17.88,67.67,6.04,211,27,216,0.95,15.31,4041,82,46,53,48
Angul,Sugarcane,Kharif,2015-06-15,2015-10-30,967,26.11,66.73,6.64,398,60,233,0.81,18.54,4078,137,49,48,51
Angul,Pulses,Summer,2020-03-20,2020-06-10,517,27.72,55.3,6.75,389,41,177,0.99,23.96,4773,82,89,78,27
Angul,Vegetables,Rabi,2022-11-15,2023-03-15,474,15.43,41.59,6.12,369,57,266,1.02,24.59,2589,120,82,80,35
Angul,Groundnut,Rabi,2023-11-15,2024-03-15,346,22.46,64.31,6.72,348,54,245,1.1,24.34,4880,121,100,52,35
Angul,Rice,Rabi,2024-11-15,2025-03-15,276,25.28,63.8,5.6,391,56,200,1.2,22.25,4232,120,123,60,58
Angul,Mustard,Kharif,2015-06-15,2015-10-30,1216,32.4,84.11,7.0,280,55,239,0.72,15.82,2305,137,93,65,32
Angul,Mustard,Summer,2025-03-20,2025-06-10,375,27.89,49.26,5.76,242,45,259,0.83,34.34,2331,82,84,60,30
Angul,Cotton,Kharif,2021-06-15,2021-10-30,1564,29.86,78.26,5.53,289,54,155,1.06,25.38,2136,137,96,49,25
Angul,Pulses,Rabi,2015-11-15,2016-03-15,228,21.49,49.5,5.94,391,24,154,1.02,19.3,5051,121,66,39,31
Angul,Cotton,Kharif,2022-06-15,2022-10-30,1353,21.14,82.31,6.22,393,23,282,0.9,28.51,5355,137,75,38,25
Angul,Vegetables,Summer,2020-03-20,2020-06-10,544,27.81,49.33,6.46,307,24,230,0.99,33.68,2939,82,95,55,48
Angul,Maize,Kharif,2023-06-15,2023-10-30,1209,26.56,74.89,6.16,249,36,198,0.88,22.86,4797,137,100,62,60
Angul,Maize,Kharif,2022-06-15,2022-10-30,1359,27.44,78.88,7.12,253,55,204,0.65,30.97,5408,137,99,37,56
Angul,Pulses,Summer,2015-03-20,2015-06-10,223,15.75,60.03,6.22,211,55,226,0.82,32.6,4328,82,40,64,48
Angul,Rice,Kharif,2015-06-15,2015-10-30,1489,28.9,65.18,7.18,300,37,196,1.14,20.48,4831,137,133,58,26
Angul,Rice,Summer,2016-03-20,2016-06-10,504,18.08,50.87,7.16,395,55,282,0.53,18.22,3538,82,136,48,42
Angul,Cotton,Rabi,2019-11-15,2020-03-15,281,24.44,67.06,6.97,265,40,297,0.63,27.45,3824,121,90,60,50
Angul,Vegetables,Summer,2020-03-20,2020-06-10,494,18.96,48.33,6.66,363,55,291,1.1,19.67,4251,82,76,42,47
Angul,Groundnut,Kharif,2023-06-15,2023-10-30,1445,27.52,76.68,6.1,226,45,170,0.88,25.92,5820,137,46,65,57
Angul,Cotton,Kharif,2017-06-15,2017-10-30,1575,20.21,70.21,6.0,288,39,186,0.74,28.5,4081,137,66,69,34
Angul,Maize,Rabi,2015-11-15,2016-03-15,584,20.81,51.54,5.63,209,49,213,0.99,25.56,3978,121,76,69,23
Angul,Sugarcane,Kharif,2024-06-15,2024-10-30,1072,31.06,73.42,6.65,390,25,285,1.19,26.39,4545,137,61,63,56
Angul,Vegetables,Kharif,2022-06-15,2022-10-30,861,24.36,63.47,7.43,256,23,172,0.9,26.65,2366,137,67,40,59
Angul,Sugarcane,Rabi,2025-11-15,2026-03-15,202,24.15,52.55,7.09,255,59,238,0.65,32.71,4592,120,84,50,38
Angul,Vegetables,Rabi,2022-11-15,2023-03-15,224,16.68,49.46,7.48,207,46,267,1.19,34.59,4876,120,74,42,56
Angul,Vegetables,Rabi,2015-11-15,2016-03-15,338,21.0,58.72,5.62,221,29,258,0.76,24.85,3846,121,69,77,27
Angul,Vegetables,Rabi,2015-11-15,2016-03-15,574,16.43,52.68,5.84,212,52,195,0.94,31.88,5404,121,46,50,43
Angul,Groundnut,Kharif,2018-06-15,2018-10-30,1119,26.71,77.16,5.79,361,32,178,0.93,27.74,2103,137,49,73,59
Angul,Cotton,Summer,2021-03-20,2021-06-10,536,17.09,65.63,6.27,324,60,189,0.88,33.44,2356,82,85,40,31
Angul,Maize,Rabi,2021-11-15,2022-03-15,432,15.44,55.83,7.39,336,53,266,0.52,26.33,2706,120,84,44,36
Angul,Cotton,Kharif,2015-06-15,2015-10-30,1085,22.08,66.39,6.99,374,24,165,0.7,34.1,3065,137,48,78,33
Angul,Sugarcane,Rabi,2021-11-15,2022-03-15,309,15.39,45.58,6.96,245,30,210,0.75,16.79,2111,120,59,37,34
Angul,Sugarcane,Kharif,2020-06-15,2020-10-30,1151,27.32,60.54,7.33,244,24,271,0.97,18.89,4331,137,77,46,36
Angul,Rice,Summer,2023-03-20,2023-06-10,414,16.47,53.03,6.06,279,38,189,0.99,17.81,3543,82,84,50,30
Angul,Rice,Kharif,2024-06-15,2024-10-30,836,26.79,82.19,5.57,353,33,170,0.76,28.6,2636,137,133,43,26
Angul,Cotton,Rabi,2024-11-15,2025-03-15,532,15.98,43.14,5.66,325,53,176,1.1,27.92,3597,120,93,64,57
Angul,Mustard,Summer,2020-03-20,2020-06-10,425,22.56,45.35,6.75,368,59,217,1.16,21.3,4831,82,54,54,30
Angul,Vegetables,Rabi,2017-11-15,2018-03-15,343,21.59,54.9,7.05,200,53,210,0.78,27.15,4274,120,97,35,40
Angul,Sugarcane,Summer,2022-03-20,2022-06-10,528,16.82,44.8,5.65,342,21,156,0.57,26.69,5165,82,92,49,47
Angul,Groundnut,Kharif,2022-06-15,2022-10-30,860,24.07,68.92,5.63,346,24,285,0.66,22.86,2152,137,90,41,52
Angul,Mustard,Rabi,2023-11-15,2024-03-15,215,27.42,51.42,6.84,369,54,295,0.82,25.99,5773,121,67,37,57
Angul,Groundnut,Rabi,2016-11-15,2017-03-15,227,18.62,49.34,6.47,331,41,150,0.72,32.85,5406,120,64,66,29
Angul,Mustard,Summer,2024-03-20,2024-06-10,565,17.0,65.54,7.33,317,51,233,1.18,20.12,3095,82,73,33,47
Angul,Mustard,Summer,2021-03-20,2021-06-10,342,16.2,55.59,7.31,387,57,175,0.91,24.24,2109,82,70,68,27
Angul,Pulses,Rabi,2021-11-15,2022-03-15,403,24.63,57.89,7.36,259,39,217,0.68,16.58,3405,120,51,73,42
Angul,Cotton,Summer,2025-03-20,2025-06-10,573,24.56,54.1,6.12,270,54,227,0.64,30.55,2797,82,73,57,54
Angul,Pulses,Kharif,2025-06-15,2025-10-30,1397,27.76,72.86,7.35,308,55,188,0.9,26.04,2007,137,40,74,33
Angul,Pulses,Kharif,2021-06-15,2021-10-30,899,30.94,84.24,6.75,353,54,181,0.73,18.5,3569,137,53,44,58
Angul,Sugarcane,Kharif,2023-06-15,2023-10-30,1114,21.23,82.91,7.3,259,50,178,1.17,31.55,2044,137,75,70,43
Angul,Sugarcane,Summer,2022-03-20,2022-06-10,271,24.51,66.44,7.17,254,57,268,0.62,27.9,5567,82,100,60,29
Angul,Sugarcane,Kharif,2021-06-15,2021-10-30,1547,27.11,67.98,7.34,323,24,298,0.91,25.29,4816,137,81,60,32
Angul,Groundnut,Kharif,2022-06-15,2022-10-30,1383,25.57,64.82,7.24,370,50,248,0.86,28.73,5016,137,78,55,57
Angul,Maize,Rabi,2025-11-15,2026-03-15,229,22.4,51.63,6.14,227,26,152,0.64,17.68,5909,120,77,33,26
Angul,Vegetables,Kharif,2025-06-15,2025-10-30,1537,32.21,75.11,7.48,397,35,273,0.76,30.31,5129,137,73,45,28
Angul,Groundnut,Kharif,2015-06-15,2015-10-30,1571,31.61,76.47,6.44,358,28,286,0.78,24.44,2975,137,96,36,47
Angul,Groundnut,Summer,2019-03-20,2019-06-10,586,20.32,65.6,7.21,352,28,156,0.78,28.67,4200,82,45,48,51
Angul,Cotton,Kharif,2017-06-15,2017-10-30,1382,25.05,76.83,7.22,257,30,168,0.54,19.87,4438,137,59,60,59
Angul,Groundnut,Summer,2025-03-20,2025-06-10,381,19.14,68.31,6.67,301,53,150,1.06,30.18,2510,82,56,78,25
Angul,Sugarcane,Rabi,2024-11-15,2025-03-15,452,23.27,46.47,6.72,375,41,236,0.97,31.11,3232,120,58,41,36
Angul,Groundnut,Rabi,2020-11-15,2021-03-15,551,25.73,62.65,6.25,345,42,273,0.76,15.75,4450,120,54,62,22
Angul,Rice,Kharif,2020-06-15,2020-10-30,847,23.33,78.69,6.88,223,33,223,1.19,29.73,4618,137,140,57,23
Angul,Pulses,Kharif,2021-06-15,2021-10-30,1350,25.31,65.87,5.58,233,38,158,0.61,31.99,4542,137,46,52,41
Angul,Pulses,Rabi,2021-11-15,2022-03-15,430,24.23,49.54,5.9,335,47,255,1.19,24.23,5330,120,73,60,39
Angul,Groundnut,Summer,2018-03-20,2018-06-10,577,21.12,60.9,7.0,335,48,272,0.66,34.03,2293,82,75,53,22
Angul,Cotton,Rabi,2017-11-15,2018-03-15,292,18.87,58.68,6.22,227,24,273,1.13,34.43,2948,120,93,38,21
Angul,Groundnut,Rabi,2024-11-15,2025-03-15,557,18.48,45.27,5.95,343,56,249,1.08,26.28,2791,120,58,53,39
Angul,Rice,Rabi,2018-11-15,2019-03-15,508,17.49,69.62,7.17,351,32,250,0.5,15.24,2941,120,87,72,58
Angul,Rice,Summer,2023-03-20,2023-06-10,478,18.57,50.87,5.91,342,47,250,1.07,30.52,5376,82,150,63,55
Angul,Groundnut,Rabi,2025-11-15,2026-03-15,551,19.28,62.59,6.76,297,41,295,1.11,25.55,5171,120,50,48,45
Angul,Mustard,Kharif,2024-06-15,2024-10-30,1131,21.52,71.98,6.44,271,54,201,0.82,23.2,5412,137,61,50,56
Angul,Pulses,Summer,2024-03-20,2024-06-10,523,15.99,51.07,7.03,358,27,253,0.52,17.89,3943,82,84,33,30
Angul,Rice,Rabi,2021-11-15,2022-03-15,488,15.43,62.64,5.71,343,31,232,0.96,16.68,2286,120,123,43,28
Angul,Rice,Kharif,2015-06-15,2015-10-30,987,27.29,60.96,5.53,321,43,188,1.18,16.0,4906,137,82,45,28
Angul,Vegetables,Summer,2024-03-20,2024-06-10,346,16.92,57.94,6.3,209,23,189,1.03,20.77,4273,82,99,38,22
Angul,Vegetables,Rabi,2021-11-15,2022-03-15,567,19.58,59.84,6.43,259,39,236,1.05,29.0,3159,120,54,51,41
Angul,Rice,Summer,2023-03-20,2023-06-10,442,22.81,52.52,5.61,274,36,259,0.61,34.91,3904,82,115,72,59
Angul,Sugarcane,Kharif,2021-06-15,2021-10-30,1523,28.13,67.78,6.87,338,27,162,0.65,25.32,2388,137,61,45,33
Angul,Cotton,Rabi,2025-11-15,2026-03-15,447,18.49,65.78,6.05,212,24,221,0.59,21.08,4792,120,54,30,53
Angul,Rice,Summer,2020-03-20,2020-06-10,520,18.14,57.59,5.62,392,55,159,1.15,31.72,3286,82,144,37,35
Angul,Maize,Summer,2023-03-20,2023-06-10,236,16.44,44.96,5.84,261,45,239,1.02,17.69,4858,82,91,79,56
Angul,Vegetables,Rabi,2020-11-15,2021-03-15,362,26.87,68.42,6.22,379,51,253,0.97,19.09,3454,120,51,44,37
Angul,Pulses,Summer,2022-03-20,2022-06-10,236,26.63,44.98,6.37,360,53,194,0.93,26.45,5293,82,67,30,54
Angul,Sugarcane,Rabi,2019-11-15,2020-03-15,470,15.05,53.59,6.8,265,32,253,0.87,28.93,3343,121,89,55,56
Angul,Vegetables,Kharif,2020-06-15,2020-10-30,1296,22.92,65.27,6.73,330,32,191,0.71,29.36,3102,137,51,54,39
Angul,Pulses,Rabi,2017-11-15,2018-03-15,417,20.84,55.59,5.84,348,33,177,0.98,16.25,2282,120,59,67,36
Angul,Groundnut,Summer,2019-03-20,2019-06-10,462,21.49,62.02,5.61,365,52,236,0.89,25.55,3245,82,82,40,25
Angul,Mustard,Kharif,2018-06-15,2018-10-30,983,24.58,63.04,5.92,227,21,207,0.71,20.31,4072,137,79,43,34
Angul,Cotton,Summer,2021-03-20,2021-06-10,237,15.4,69.65,7.13,360,52,269,0.71,22.47,3226,82,79,70,60
Angul,Groundnut,Kharif,2023-06-15,2023-10-30,1397,28.84,62.81,5.94,244,35,227,0.54,22.16,2596,137,93,32,32
Angul,Mustard,Rabi,2016-11-15,2017-03-15,422,18.62,52.38,6.36,359,23,173,0.97,24.85,2935,120,67,38,46
Angul,Cotton,Summer,2016-03-20,2016-06-10,324,17.7,54.68,5.82,369,60,264,0.89,33.85,3711,82,99,52,53
Angul,Rice,Kharif,2019-06-15,2019-10-30,1101,22.03,84.9,6.97,307,50,254,1.14,17.98,2797,137,86,34,24
Angul,Sugarcane,Rabi,2017-11-15,2018-03-15,428,25.15,42.97,6.82,390,47,167,0.58,25.54,4842,120,48,59,54
Angul,Pulses,Kharif,2016-06-15,2016-10-30,1566,31.59,67.1,7.34,389,35,254,0.75,29.17,2420,137,80,64,57
Angul,Pulses,Summer,2025-03-20,2025-06-10,418,18.84,58.38,6.76,229,45,230,0.54,34.68,4822,82,97,45,23
Angul,Sugarcane,Rabi,2024-11-15,2025-03-15,329,27.32,57.71,6.39,392,33,178,1.18,16.21,2457,120,80,41,31
Angul,Mustard,Summer,2025-03-20,2025-06-10,594,27.78,47.15,7.35,217,34,243,0.56,34.63,5440,82,72,47,52
Angul,Mustard,Rabi,2015-11-15,2016-03-15,576,15.47,57.25,5.86,290,29,221,0.77,27.03,2879,121,53,71,31
Angul,Sugarcane,Kharif,2023-06-15,2023-10-30,895,23.45,74.06,6.74,240,31,231,0.96,27.23,3849,137,89,43,38
Angul,Maize,Summer,2015-03-20,2015-06-10,541,23.28,45.88,5.64,294,35,283,0.63,26.29,2245,82,41,54,30
Angul,Groundnut,Rabi,2025-11-15,2026-03-15,430,16.89,59.13,6.97,310,32,166,0.92,23.55,2623,120,43,74,58
Angul,Cotton,Kharif,2015-06-15,2015-10-30,1550,21.39,68.18,6.93,341,55,200,0.55,16.5,4726,137,59,61,26
Angul,Groundnut,Rabi,2016-11-15,2017-03-15,519,25.38,62.35,5.71,314,21,170,1.08,19.78,5008,120,96,30,45
Angul,Sugarcane,Rabi,2016-11-15,2017-03-15,235,24.74,59.17,6.95,331,41,164,0.89,16.04,3055,120,59,37,41
Angul,Rice,Rabi,2018-11-15,2019-03-15,355,24.76,57.46,6.54,387,26,187,0.55,15.97,2337,120,113,33,41
Angul,Maize,Summer,2024-03-20,2024-06-10,244,27.76,54.08,6.52,362,36,239,1.15,16.88,4577,82,42,48,34
Angul,Sugarcane,Rabi,2016-11-15,2017-03-15,422,16.23,54.53,6.55,205,47,179,0.65,34.48,2298,120,89,40,47
Angul,Rice,Kharif,2024-06-15,2024-10-30,1298,34.75,69.48,5.59,343,53,210,0.76,24.06,2244,137,92,56,38
Angul,Vegetables,Rabi,2017-11-15,2018-03-15,460,15.46,48.86,6.67,382,23,253,0.93,17.54,4912,120,74,50,59
Angul,Cotton,Kharif,2020-06-15,2020-10-30,1279,32.55,63.47,6.01,303,21,192,0.63,25.74,5573,137,77,52,50
Angul,Cotton,Kharif,2023-06-15,2023-10-30,1375,31.08,61.5,6.83,325,22,218,0.59,24.01,5811,137,64,46,49
Angul,Mustard,Rabi,2020-11-15,2021-03-15,584,15.39,51.96,7.08,398,58,251,1.09,32.58,5739,120,94,33,60
Angul,Groundnut,Kharif,2017-06-15,2017-10-30,1251,21.99,73.74,5.57,208,50,249,1.11,23.36,3577,137,60,36,25
Angul,Mustard,Summer,2023-03-20,2023-06-10,282,24.79,48.09,6.95,314,43,233,1.11,28.53,5027,82,93,48,39
Angul,Mustard,Rabi,2023-11-15,2024-03-15,556,22.5,51.46,6.22,225,41,223,0.63,30.9,5331,121,100,66,57
Angul,Vegetables,Rabi,2021-11-15,2022-03-15,357,19.36,63.93,7.5,288,55,159,1.08,29.25,3219,120,40,40,59
Angul,Rice,Summer,2021-03-20,2021-06-10,286,17.94,51.85,6.05,328,59,226,0.68,18.17,4076,82,88,67,55
Angul,Maize,Rabi,2022-11-15,2023-03-15,300,20.22,41.01,6.21,328,59,155,0.98,33.05,2390,120,61,45,25
Angul,Mustard,Summer,2019-03-20,2019-06-10,444,22.12,46.61,6.2,286,20,157,1.08,28.5,4841,82,67,50,33
Angul,Cotton,Summer,2021-03-20,2021-06-10,258,20.53,57.47,6.13,337,35,267,1.19,15.46,5126,82,99,60,55
